This is just to give an idea:

Address	Length	Type	String
.rdata:01083968	00000027	C	Blaze::GameReporting::Assault::MapData
.rdata:01086130	00000029	C	Blaze::GameReporting::Assault::MapReport
.rdata:010836E0	0000002B	C	Blaze::GameReporting::Assault::MissionData
.rdata:01085FCC	0000002D	C	Blaze::GameReporting::Assault::MissionReport
.rdata:010839C0	00000028	C	Blaze::GameReporting::Assault::RushData
.rdata:010861A0	0000002A	C	Blaze::GameReporting::Assault::RushReport
.rdata:01086480	0000002E	C	Blaze::GameReporting::Assault::StandardReport
.rdata:01083910	0000002B	C	Blaze::GameReporting::Assault::VehicleData
.rdata:010860BC	0000002D	C	Blaze::GameReporting::Assault::VehicleReport
.rdata:010838B4	0000002A	C	Blaze::GameReporting::Assault::WeaponData
.rdata:01086044	0000002C	C	Blaze::GameReporting::Assault::WeaponReport
.rdata:01084034	00000020	C	Blaze::GameReporting::GameEvent
.rdata:01084990	00000021	C	Blaze::GameReporting::GameEvents
.rdata:01082E84	00000037	C	Blaze::GameReporting::GameHistoryBasic::GameAttributes
.rdata:01082E28	00000035	C	Blaze::GameReporting::GameHistoryBasic::PlayerReport
.rdata:01085C5C	0000002F	C	Blaze::GameReporting::GameHistoryBasic::Report
.rdata:01082FAC	0000003E	C	Blaze::GameReporting::GameHistoryClubs_NonDerived::ClubReport
.rdata:01082EE0	00000044	C	Blaze::GameReporting::GameHistoryClubs_NonDerived::OffensiveAthlete
.rdata:01082F48	00000040	C	Blaze::GameReporting::GameHistoryClubs_NonDerived::PlayerReport
.rdata:01085CCC	0000003A	C	Blaze::GameReporting::GameHistoryClubs_NonDerived::Report
.rdata:010867D0	00000028	C	Blaze::GameReporting::GameHistoryReport
.rdata:01086744	00000032	C	Blaze::GameReporting::GameHistoryReport::TableRow
.rdata:01084484	00000033	C	Blaze::GameReporting::GameHistoryReport::TableRows
.rdata:01083F74	00000021	C	Blaze::GameReporting::GameReport
.rdata:0108688C	00000027	C	Blaze::GameReporting::GameReportColumn
.rdata:01083F18	0000002B	C	Blaze::GameReporting::GameReportColumnInfo
.rdata:01084914	00000033	C	Blaze::GameReporting::GameReportColumnInfoResponse
.rdata:01083D14	0000002A	C	Blaze::GameReporting::GameReportColumnKey
.rdata:01086A44	0000002D	C	Blaze::GameReporting::GameReportColumnValues
.rdata:01083CB4	00000027	C	Blaze::GameReporting::GameReportFilter
.rdata:010845B0	0000002C	C	Blaze::GameReporting::GameReportQueriesList
.rdata:0108452C	00000026	C	Blaze::GameReporting::GameReportQuery
.rdata:010847D4	00000025	C	Blaze::GameReporting::GameReportType
.rdata:01084758	00000025	C	Blaze::GameReporting::GameReportView
.rdata:01083E44	00000029	C	Blaze::GameReporting::GameReportViewInfo
.rdata:010846BC	0000002E	C	Blaze::GameReporting::GameReportViewInfosList
.rdata:01084634	00000026	C	Blaze::GameReporting::GameReportsList
.rdata:01083EAC	0000002E	C	Blaze::GameReporting::GetGameReportColumnInfo
.rdata:01086AF0	00000038	C	Blaze::GameReporting::GetGameReportColumnValuesResponse
.rdata:01083D78	00000029	C	Blaze::GameReporting::GetGameReportQuery
